iter	Passed	Remaining
0	1976	1974975
1	2982	1488288
2	3918	1302232
3	5114	1273508
4	5956	1185429
5	6809	1128101
6	7681	1089723
7	8797	1090851
8	9891	1089218
9	10751	1064368
10	11765	1057869
11	12565	1034568
12	13655	1036791
13	14639	1031069
14	15650	1027688115	16687	1026271716	17563	1015518	17	18619	101519	118	19447	10020	1919	20305	9921	2020	21263	9222	2121	22203	9823	2222	23069	9724	2323	23918	9725	2424	24816	9626	2525	25628	2727	2626	26595	2828	2727	27401	2929	28666	926893030	29803	931603131	30702	928753232	31631	926893333	32691	928833434	33531	924503535	34279	917933636	35140	914613737	36077	913323838	37005	911853939	38174	916184040	39064	913724141	40099	914654242	41019	912914343	41909	910564444	42847	909324545	43816	908704646	44746	907304747	45526	902934848	46497	902424949	47621	904805050	48732	906815151	49610	904435252	50652	905055353	51614	904215454	52590	903605555	53669	904717
56	54647	904075
57	55547	902175
58	56480	900816
59	57417	899533
60	58414	899205
61	59355	897996262	60413	898536363	61385	897766464	62261	895606565	63287	895616666	64175	893666767	65248	894296868	66095	891806969	66926	889167070	67754	886547171	68589	8840472	69826	886698
73	70776	885659
74	71648	883666
75	72640	883160
76	73656	882925
7777	74337	878707878	75317	878067979	76232	8766780	77625	880714
81	78533	879191
82	79528	878646
83	80492	877746
84	81406	876317
85	82377	875497
86	83302	874193
8787	83865	869158888	85018	870248989	85970	869259090	86926	868309191	88134	869859292	89035	868339393	89880	866299494	90822	865209595	91781	864279696	92765	863589797	93758	862969898	94767	862489999	95825	8624210100	96781	861451
101	97797	861002
102	98790	860339
103	99739	859294
104	100552	857086
105	101434	855496
106	102434	854894
107	103504	854873
108	104523	854410
109	105386	852672
110	106410	852245
111	107372	851310
112	108523	851860
113	109539	851329
114	110481	850230
115	111458	849388
116	112369	848055
117	113318	847008
118	114120	844877
119	115012	843428
120	115881	841819
121	116777	840418
122	117582	838376
123	118534	837387
124	119860	839026
125	120882	838499
126	121964	838385
127	122960	837665
128	123657	834926
129	124658	834253
130	125657	833563
131	126604	832517
132	127728	832637
133	128764	832165
134	129681	830925
135	130552	829394
136	131682	829503
137	132433	827232
138	133449	826619
139	134394	825566
140	135315	824371
141	136258	823309
142	137342	823092
143	138300	822120
144	139364	821770
145	140232	820261
146	141007	818228
147	141947	817156
148	142953	816467
149	143862	815218
150	144773	813992
151	145633	812480
152	146477	810891
153	147291	809148
154	148310	808532
155	149210	807266
156	150200	806490
157	151106	805262
158	152268	805392
159	153402	805364
160	154502	805138
161	155558	804676
