iter	Logloss
0	0.6781200551
1	0.6640512724
2	0.6475794843
3	0.6325006952
4	0.6164224106
5	0.6033992282
6	0.5896495364
7	0.5777559224
8	0.5660535361
9	0.5553075861
10	0.544725392
11	0.5318930788
12	0.521031389
13	0.5102814378
14	0.5012896215
15	0.4895807554
16	0.4782207213
17	0.4698129792
18	0.4612392418
19	0.4522587129
20	0.4442701844
21	0.4355590581
22	0.4270712298
23	0.4178549809
24	0.4110952478
25	0.4029975787
26	0.394917796
27	0.3890816825
28	0.3824177423
29	0.3758450861
30	0.3703717196
31	0.3632258884
32	0.3571941279
33	0.3519055988
34	0.3469626768
35	0.3422701363
36	0.33704103
37	0.3306955237
38	0.3263826314
39	0.3216301308
40	0.3168651484
41	0.3119169411
42	0.3078869784
43	0.3036241027
44	0.3000899164
45	0.2953511815
46	0.2912795931
47	0.2879885918
48	0.2837343757
49	0.2805989782
50	0.2770534747
51	0.2734778716
52	0.2702927561
53	0.2676184667
54	0.2649782782
55	0.2614937202
56	0.2591891951
57	0.2569595008
58	0.2538060377
59	0.2507882613
60	0.2484773311
61	0.2463714241
62	0.2432876109
63	0.2413830692
64	0.2394081459
65	0.2365844488
66	0.2343268049
67	0.2323527476
68	0.2301973765
69	0.2285104442
70	0.2269143181
71	0.225355921
72	0.2230797934
73	0.2211635313
74	0.2197110947
75	0.217899539
76	0.2162297766
77	0.214966537
78	0.2134312221
79	0.2119086577
80	0.2102442852
81	0.2087973876
82	0.2075289672
83	0.2058532177
84	0.2048195617
85	0.2038396697
86	0.2021059607
87	0.2010357254
88	0.1998004801
89	0.1987923549
90	0.1974804723
91	0.1960389199
92	0.1949266109
93	0.1935632485
94	0.1924863692
95	0.1916841481
96	0.1906836224
97	0.1896549232
98	0.1887688982
99	0.1876864499
100	0.1870488953
101	0.1861160487
102	0.1854654002
103	0.1843907903
104	0.1834005367
105	0.1828685992
106	0.1822527383
107	0.1814798254
108	0.1808830903
109	0.1799492435
110	0.1790485419
111	0.1785466442
112	0.1780087495
113	0.1773945609
114	0.1769470095
115	0.1761347403
116	0.1752596144
117	0.1748252316
118	0.1742756166
119	0.1736868543
120	0.173209502
121	0.1724705705
122	0.1721364001
123	0.1717278766
124	0.1711389053
125	0.1704927807
126	0.1698265598
127	0.1692178805
128	0.1688488626
129	0.1684761719
130	0.168212383
131	0.1679387998
132	0.1676878061
133	0.1670853527
134	0.1665346627
135	0.1661362172
136	0.1657126888
137	0.1651269125
138	0.1646126525
139	0.164264358
140	0.163912301
141	0.16353752
142	0.16309612
143	0.1626905676
144	0.1622997665
145	0.161946306
146	0.1616765748
147	0.1612883267
148	0.1609858981
149	0.1606648216
150	0.1603199162
151	0.1600033038
152	0.1597139691
153	0.1594834598
154	0.1590430004
155	0.1587307476
156	0.1585347573
157	0.1582201754
158	0.1579060862
159	0.1577351191
160	0.1574690309
161	0.1572218893
162	0.1571203781
163	0.1567883277
164	0.1565731519
165	0.156319217
166	0.1560329878
167	0.1556820655
168	0.1554784458
169	0.1552432782
170	0.1549223808
171	0.1546191012
172	0.154386875
173	0.1542574589
174	0.1540762347
175	0.1538494282
176	0.1536063028
177	0.1533573994
178	0.1531825653
179	0.1529189257
180	0.1526947021
181	0.1524294799
182	0.1521621973
183	0.1519408105
184	0.151667929
185	0.1514586208
186	0.1513223667
187	0.1511603279
188	0.1510468574
189	0.1508872672
190	0.1507025493
191	0.1505334783
192	0.1503807262
193	0.1502221512
194	0.1500682644
195	0.1499369522
196	0.1497474865
197	0.1495802668
198	0.1493876358
199	0.149152543
200	0.1490360417
201	0.148925826
202	0.1487514996
203	0.1486197096
204	0.1483763603
205	0.1481674105
206	0.1480502373
207	0.1479166408
208	0.1476901627
209	0.1476270523
210	0.1474896634
211	0.1473207418
212	0.1471144047
213	0.1469281938
214	0.1467649157
215	0.1465919629
216	0.146443884
217	0.1462568966
218	0.1461782437
219	0.1459954816
220	0.1457637779
221	0.1456818553
222	0.1455471838
223	0.1454516148
224	0.1453626748
225	0.1452814688
226	0.1451420196
227	0.1449798166
228	0.1448609563
229	0.1447188495
230	0.1445815353
231	0.1444792925
232	0.144342695
233	0.1442450208
234	0.1440575557
235	0.1439782159
236	0.1438978012
237	0.1437462734
238	0.1436920614
239	0.143598926
240	0.1434407393
241	0.143257156
242	0.1431486275
243	0.1430174945
244	0.1428997241
245	0.1427876273
246	0.1427090341
247	0.1426072391
248	0.1424936044
249	0.1423347309
250	0.1422201705
251	0.1421133739
252	0.1419865558
253	0.1418496597
254	0.141695743
255	0.1416102072
256	0.1415218346
257	0.1414609039
258	0.1414001972
259	0.1413058227
260	0.1412580158
261	0.1412013851
262	0.1411109969
263	0.1410555756
264	0.140916619
265	0.1408360252
266	0.1407713172
267	0.1406585484
268	0.1405504081
269	0.1404565412
270	0.1403386961
271	0.1402434706
272	0.1401321053
273	0.1400750267
274	0.1399838621
275	0.1399364733
276	0.1398363804
277	0.1397648642
278	0.1397193416
279	0.1396336416
280	0.1395362361
281	0.1394432352
282	0.1393672249
