iter	Passed	Remaining
0	2	2164
1	4	2298
2	6	2323
3	9	2312
4	11	2307
5	14	2333
6	16	2385
7	18	2346
8	20	2259
9	22	2241
10	24	2184
11	26	2162
12	27	2090
13	29	2055
14	30	2026
15	32	1996
16	34	1976
17	35	1948
18	37	1928
19	39	1929
20	41	1941
21	43	1929
22	45	1928
23	47	1932
24	49	1936
25	51	1927
26	53	1915
27	54	1903
28	56	1908
29	59	1908
30	61	1908
31	63	1912
32	65	1909
33	67	1918
34	69	1915
35	70	1900
36	73	1900
37	75	1903
38	77	1902
39	79	1903
40	81	1912
41	83	1903
42	85	1893
43	87	1891
44	89	1891
45	90	1883
46	92	1876
47	93	1859
48	96	1865
49	98	1872
50	101	1880
51	103	1879
52	105	1884
53	107	1877
54	108	1872
55	110	1870
56	113	1869
57	114	1861
58	116	1864
59	119	1869
60	121	1867
61	123	1861
62	125	1861
63	127	1860
64	129	1858
65	131	1862
66	133	1861
67	135	1857
68	137	1856
69	138	1844
70	141	1850
71	143	1848
72	148	1879
73	150	1880
74	152	1882
75	155	1887
76	157	1887
77	160	1892
78	162	1893
79	164	1892
80	166	1893
81	168	1881
82	169	1875
83	171	1875
84	173	1869
85	175	1863
86	177	1859
87	179	1861
88	183	1874
89	185	1871
90	188	1879
91	191	1892
92	193	1887
93	195	1887
94	197	1884
95	199	1880
96	201	1876
97	204	1885
98	206	1881
99	208	1878
100	210	1877
101	212	1873
102	215	1873
103	217	1869
104	218	1864
105	220	1859
106	222	1860
107	224	1856
108	226	1855
109	228	1848
110	230	1844
111	232	1843
112	234	1841
113	237	1842
114	239	1839
115	241	1836
116	243	1834
117	244	1829
118	246	1826
119	249	1826
120	251	1824
121	252	1820
122	254	1815
123	256	1813
124	259	1814
125	260	1809
126	262	1804
127	264	1800
128	267	1803
129	268	1799
130	270	1791
131	271	1784
132	272	1777
133	274	1773
134	276	1773
135	278	1769
136	280	1767
137	282	1767
138	284	1762
139	286	1758
140	287	1754
141	289	1750
142	292	1750
143	294	1750
144	296	1747
145	298	1743
146	299	1739
147	301	1737
148	304	1737
149	305	1733
150	307	1729
151	309	1725
152	311	1722
